Dept,Course,Title,Author,New,Used,
AMST,4401,ONE HUNDRED YEARS OF SOLITUDE (TRANS. RABASSA)GARCIA MARQUEZ,,$16.99 ,$8.46 ,
AMST,4401,BRIEF WONDROUS LIFE OF OSCAR WAO,DIAZ,$10.21 ,$7.97 ,
AMST,4401,I RIGOBERTA MENCHU (2ND),BURGOS-DEBRAY,$23.95 ,$11.93 ,
AMST,4401,SALVAGE THE BONES,WARD,$17.00 ,$8.46 ,
AMST,4401,THERE THERE,ORANGE,$16.00 ,$12.00 ,
AMST,4401,TENTACLE,INDIANA,$13.95 ,$10.45 ,
AMST,4500,**ANGELS IN AMERICA PART ONE: MILLENNIUM,KUSHNER,$12.95 ,$7.73 ,
AMST,4500,**ANGELS IN AMERICA (COMBINED),KUSHNER,$16.95 ,$8.43 ,
AMST,4500,M. BUTTERFLY,HWANG,$13.00 ,$6.48 ,
AMST,4500,FUN HOME,BECHDEL,$11.95 ,$8.95 ,
AMST,4500,WIELAND & MEMOIRS OF CARWIN THE BILOQUIST,BROWN,$14.00 ,$10.50 ,
AMST,4500,"WALDEN, CIVIL DISOBEDIENCE & OTHER WRITINGSTHOREAU",,$21.35 ,$14.93 ,
AMST,4500,"NARRATIVE OF THE LIFE OF FREDERICK DOUGLASS, AN AMERICAN SLAVEDOUGLASS",,$13.00 ,$9.75 ,
AMST,4500,SECRET HISTORY OR HORRORS OF ST.DOMINGO & LAURASANSAY,,$17.88 ,$7.50 ,
AMST,4500,CONFESSIONS OF NAT TURNER W/DOCUMENTS,GREENBERG,$20.99 ,$17.00 ,
AMST,4500,"BILLY BUDD, BARTLEBY AND OTHER STORIES",MELVILLE,$11.00 ,$5.48 ,
AMST,4500,LETTERS FROM AN AMERICAN FARMER & SKETCHES OF 18TH CENTURY AMERICADE CREVECOEUR,,$16.00 ,$7.96 ,
AMST,4500,FETTERED FOR LIFE,DEVEAUX,$22.95 ,$17.20 ,
AMST,4500,"(eBook) Secret History; or, The Horrors of St. Domingo and LauraSANSAY",,$18.59 ,$0.00 ,
ANTH,1010,"ANTHROPOLOGY: Asking Questions about Human Origins, Diversity, and CultureWELSCH",,$89.95 ,$53.70 ,
ANTH,1010,(eBook) Anthropology,WELSCH,$44.98 ,$0.00 ,
ANTH,2250,FIRE NEXT TIME,BALDWIN,$13.95 ,$10.57 ,
ANTH,2250,BECOMING INDIAN,"STRUM, CIRCE",$27.95 ,$21.18 ,
ANTH,2280,SPIRIT CATCHES YOU & YOU FALL DOWN W/NEW AFTERWORDFADIMAN,,$9.16 ,$7.46 ,
ANTH,2400,HOW WE TALK,ENFIELD,$27.00 ,$20.25 ,
ANTH,2430,SPOKEN HERE,ABLEY,$18.95 ,$9.42 ,
ANTH,2430,**DYING WORDS,EVANS,$49.75 ,$37.13 ,
ANTH,2430,INTRODUCTION TO THE LANGUAGES OF THE WORLDLYOVIN,,$44.95 ,$33.55 ,
ANTH,2440,AMERICA ON FILM,BENSHOFF,$55.00 ,$39.70 ,
ANTH,2440,OVERHEARING FILM DIALOGUE,KOZLOFF,$39.94 ,$23.85 ,
ANTH,2541,BECAUSE INTERNET,MCCULLOCH,$26.00 ,$19.50 ,
ANTH,2559,THERE THERE,ORANGE,$16.00 ,$12.00 ,
ANTH,2800,CAHOKIA,PAUKETAT,$16.00 ,$11.25 ,
ANTH,2800,ARCHAEOLOGICAL THINKING,ORSER,$35.00 ,$26.12 ,
